create Customer id="cust1" FirstName="Mauricea" LastName="Kasongo" EmailAddress="maurieka@kisikisi.com" AddressLine1="589_Lenana_Road" City="Nairobi" PostalCode="00200"
create Customer id="cust2" FirstName="Soraya" LastName="Munyaka" EmailAddress="sorayam@jiji.co.ke" AddressLine1="Koinange_Street" City="Nakuru" PostalCode="20500"
create Customer id="cust3" FirstName="Eloise" LastName="Muthoka" EmailAddress="eloiem@papo.com" AddressLine1="Kimathi_Street" City="Eldoret" PostalCode="06100"
create Customer id="cust4" FirstName="Gideon" LastName="Thuo" EmailAddress="gidont@jinja.co.ug" AddressLine1="Mombasa_Road" City="Mombasa" PostalCode="80100"
create Customer id="cust5" FirstName="Lysander" LastName="Kiprotich" EmailAddress="lysandek@kisumu.co.ke" AddressLine1="Uhuru_Street" City="Nairobi" PostalCode="00200"
create Customer id="cust6" FirstName="Eluned" LastName="Mwangi" EmailAddress="elunem@taita.tz" AddressLine1="Kisumu_Road" City="Kisumu" PostalCode="40100"
create Customer id="cust7" FirstName="Gwynfor" LastName="Mwanga" EmailAddress="gwynform@mbale.co.ug" AddressLine1="Mombasa_Road" City="Mombasa" PostalCode="80100"
create Customer id="cust8" FirstName="Eulalia" LastName="Ndegwa" EmailAddress="eulalie@nakuru.co.ke" AddressLine1="Koinange_Street" City="Nakuru" PostalCode="20500"
create Customer id="cust9" FirstName="Astrid" LastName="Wanjiru" EmailAddress="astrida@nairobi.co.ke" AddressLine1="Uhuru_Street" City="Nairobi" PostalCode="00200"
create Customer id="cust10" FirstName="Lysander" LastName="Mwangi" EmailAddress="lysandem@kisumu.co.ke" AddressLine1="Kisumu_Road" City="Kisumu" PostalCode="40100"
create Customer id="cust11" FirstName="Gwynfor" LastName="Munyaka" EmailAddress="gwynfom@jiji.co.ke" AddressLine1="Kimathi_Street" City="Eldoret" PostalCode="06100"
create Customer id="cust12" FirstName="Astrid" LastName="Wambua" EmailAddress="astride@mbale.co.ug" AddressLine1="Mombasa_Road" City="Mombasa" PostalCode="80100"
create Customer id="cust13" FirstName="Eulalia" LastName="Ndegwa" EmailAddress="eulalie@nakuru.co.ke" AddressLine1="Koinange_Street" City="Nakuru" PostalCode="20500"
create Customer id="cust14" FirstName="Lysander" LastName="Muthoka" EmailAddress="lysandem@papo.com" AddressLine1="Uhuru_Street" City="Nairobi" PostalCode="00200"
create Customer id="cust15" FirstName="Gwynfor" LastName="Thuo" EmailAddress="gwynfot@jinja.co.ug" AddressLine1="Kisumu_Road" City="Kisumu" PostalCode="40100"
create Customer id="cust16" FirstName="Astrid" LastName="Mwangi" EmailAddress="astride@kisumu.co.ke" AddressLine1="Kimathi_Street" City="Eldoret" PostalCode="06100"
create Customer id="cust17" FirstName="Eulalia" LastName="Ndegwa" EmailAddress="eulalie@taita.tz" AddressLine1="Mombasa_Road" City="Mombasa" PostalCode="80100"
create Customer id="cust18" FirstName="Lysander" LastName="Wambua" EmailAddress="lysandew@mbale.co.ug" AddressLine1="Koinange_Street" City="Nakuru" PostalCode="20500"
create Customer id="cust19" FirstName="Gwynfor" LastName="Munyaka" EmailAddress="gwynfom@jiji.co.ke" AddressLine1="Uhuru_Street" City="Nairobi" PostalCode="00200"
create Customer id="cust20" FirstName="Astrid" LastName="Muthoka" EmailAddress="astride@papo.com" AddressLine1="Kisumu_Road" City="Kisumu" PostalCode="40100"
create Customer id="cust21" FirstName="Eulalia" LastName="Wanjiru" EmailAddress="eulalie@nairobi.co.ke" AddressLine1="Kimathi_Street" City="Eldoret" PostalCode="06100"
create Customer id="cust22" FirstName="Lysander" LastName="Ndegwa" EmailAddress="lysanden@nakuru.co.ke" AddressLine1="Mombasa_Road" City="Mombasa" PostalCode="80100"
create Customer id="cust23" FirstName="Gwynfor" LastName="Mwangi" EmailAddress="gwynfom@kisumu.co.ke" AddressLine1="Koinange_Street" City="Nakuru" PostalCode="20500"
create Customer id="cust24" FirstName="Astrid" LastName="Thuo" EmailAddress="astride@jinja.co.ug" AddressLine1="Uhuru_Street" City="Nairobi" PostalCode="00200"
create Customer id="cust25" FirstName="Eulalia" LastName="Munyaka" EmailAddress="eulalie@jiji.co.ke" AddressLine1="Kisumu_Road" City="Kisumu" PostalCode="40100"
create Customer id="cust26" FirstName="Lysander" LastName="Wambua" EmailAddress="lysandew@mbale.co.ug" AddressLine1="Kimathi_Street" City="Eldoret" PostalCode="06100"
create Customer id="cust27" FirstName="Gwynfor" LastName="Ndegwa" EmailAddress="gwynfom@nairobi.co.ke" AddressLine1="Mombasa_Road" City="Mombasa" PostalCode="80100"
create Customer id="cust28" FirstName="Astrid" LastName="Muthoka" EmailAddress="astride@papo.com" AddressLine1="Koinange_Street" City="Nakuru" PostalCode="20500"
create Customer id="cust29" FirstName="Eulalia" LastName="Wanjiru" EmailAddress="eulalie@nairobi.co.ke" AddressLine1="Uhuru_Street" City="Nairobi" PostalCode="00200"
create Customer id="cust30" FirstName="Lysander" LastName="Mwangi" EmailAddress="lysandem@kisumu.co.ke" AddressLine1="Kimathi_Street" City="Eldoret" PostalCode="06100"
